Player,Pos,Age,Height,FG,3P,FT,TRB,AST,STL,BLK,PTS
D?vis Bert?ns,PF,26,80,0.45,0.429,0.883,5.8,2.2,0.8,0.7,13.4
Davon Reed,SG,23,77,0.417,0.5,,4.6,2.3,0.8,0,9.2
De'Aaron Fox,PG,21,75,0.458,0.371,0.727,4.3,8.3,1.9,0.6,19.8
Deandre Ayton,C,20,85,0.585,0,0.746,12,2.1,1,1.1,19.1
DeAndre' Bembry,SG,24,78,0.446,0.289,0.64,6.7,3.8,2,0.8,12.8
DeAndre Jordan,C,30,83,0.641,0,0.705,15.9,2.7,0.7,1.3,13.3
De'Anthony Melton,PG,20,76,0.391,0.305,0.75,4.9,5.8,2.5,0.8,9.1
Delon Wright,PG,26,77,0.434,0.298,0.793,5.6,5.3,1.9,0.6,13.8
DeMar DeRozan,SG,29,79,0.481,0.156,0.83,6.2,6.4,1.2,0.5,21.9
DeMarcus Cousins,C,28,81,0.48,0.274,0.736,11.5,5,1.9,2.1,22.8
DeMarre Carroll,PF,32,80,0.395,0.342,0.76,7.4,1.8,0.7,0.2,15.7
Demetrius Jackson,PG,24,73,0.533,0.333,1,2.8,4.6,1.8,0,20.3
Deng Adel,SF,21,79,0.306,0.261,1,3.5,0.9,0.2,0.7,5.9
Dennis Schröder,PG,25,73,0.414,0.341,0.819,4.4,5,1,0.2,19
Dennis Smith,PG,21,75,0.428,0.322,0.635,3.7,6,1.6,0.5,17.2
Deonte Burton,SG,25,77,0.402,0.296,0.667,4.2,1.4,0.9,1.2,12.3
Derrick Favors,C,27,80,0.586,0.218,0.675,11.4,1.8,1.1,2.2,18.3
Derrick Jones,SF,21,79,0.494,0.308,0.607,7.5,1.2,1.4,1.3,13.2
Derrick Rose,PG,30,75,0.482,0.37,0.856,3.6,5.7,0.8,0.3,23.7
Derrick White,PG,24,76,0.479,0.338,0.772,5.1,5.5,1.4,1,13.8
DeVaughn Akoon-Purcell,SG,25,,0.3,0,0.5,6.5,9.8,3.3,0,11.5
Devin Booker,SG,22,78,0.467,0.326,0.866,4.3,7,0.9,0.2,27.3
Devin Harris,PG,35,75,0.38,0.31,0.761,3.8,4.1,1.2,0.5,14.4
Devin Robinson,SF,23,80,0.594,0,0.643,7.6,2.3,1.5,2.3,17.8
Devonte' Graham,PG,23,74,0.343,0.281,0.761,3.4,6.4,1.2,0.1,11.6
Dewayne Dedmon,C,29,84,0.492,0.382,0.814,10.7,2,1.5,1.6,15.5
Deyonta Davis,C,22,83,0.682,0,0.6,11,1.5,0.9,1.5,11
Dillon Brooks,SF,23,78,0.402,0.375,0.733,3.4,1.7,1.1,0.4,14.7
Dion Waiters,SG,27,76,0.414,0.377,0.5,3.7,3.8,0.9,0.3,16.7
Dirk Nowitzki,PF,40,84,0.359,0.312,0.78,7.2,1.6,0.4,0.8,16.9
Domantas Sabonis,C,22,83,0.59,0.529,0.715,13.5,4.2,0.9,0.6,20.4
Donatas Motiej?nas,PF,28,84,0.5,0,0,8.3,2.8,0,2.8,16.6
Donovan Mitchell,SG,22,75,0.432,0.362,0.806,4.4,4.5,1.5,0.4,25.3
Donte DiVincenzo,SG,22,76,0.403,0.265,0.75,5.7,2.7,1.1,0.5,11.5
Donte Grantham,SF,23,80,0,0,,0,0,0,0,0
Dorian Finney-Smith,SF,25,80,0.432,0.311,0.709,7.1,1.7,1.3,0.7,11
Doug McDermott,SF,27,80,0.491,0.408,0.835,2.9,1.8,0.5,0.2,15.2
Dragan Bender,PF,21,85,0.447,0.218,0.593,8,2.4,0.8,1,10
Draymond Green,PF,28,79,0.445,0.285,0.692,8.4,7.9,1.7,1.2,8.5
Drew Eubanks,PF,21,82,0.577,0,0.846,10.8,2.2,0.6,1.6,13.1
Duncan Robinson,PF,24,80,0.391,0.286,0.667,4.2,1.1,1.1,0,11.2
Dusty Hannahs,SG,25,76,0.25,0,1,1.4,6.9,1.4,0,11.1
Dwayne Bacon,SG,23,79,0.475,0.437,0.739,4.2,2.2,0.6,0.2,15
Dwight Howard,C,33,83,0.623,0,0.604,13,0.6,1.1,0.6,18
Dwight Powell,C,27,83,0.597,0.307,0.772,8.9,2.4,1,1.1,17.7
Dwyane Wade,SG,37,76,0.433,0.33,0.708,5.4,5.7,1.1,0.7,20.7
Džanan Musa,SG,19,81,0.409,0.1,0,4.6,1.8,1.8,0,17.5
Ed Davis,C,29,82,0.616,0,0.617,17.3,1.5,0.9,0.8,11.8
Edmond Sumner,PG,23,78,0.344,0.259,0.625,4.1,1.7,2.1,0.9,11.3
Ekpe Udoh,C,31,82,0.694,0,0.633,10.1,3.2,1.1,3.5,13.4
Elfrid Payton,PG,24,76,0.434,0.314,0.743,6.3,9.2,1.3,0.5,12.8
Elie Okobo,PG,21,75,0.393,0.295,0.787,3.7,4.8,1.2,0.3,11.4
Emanuel Terry,PF,22,83,0.571,0,0.5,11,3.1,4.7,0,15.7
Emmanuel Mudiay,PG,22,77,0.446,0.329,0.774,4.4,5.1,1,0.4,19.6
Enes Kanter,C,26,83,0.549,0.294,0.787,14.5,2.5,0.7,0.6,20.1
Eric Bledsoe,PG,29,73,0.484,0.329,0.75,5.7,6.8,1.8,0.5,19.7
Eric Gordon,SG,30,78,0.409,0.36,0.783,2.5,2.2,0.7,0.5,18.4
Eric Moreland,PF,27,82,0.429,1,,16.7,3.3,0.8,0.8,5.9
Ersan ?lyasova,PF,31,82,0.438,0.363,0.824,8.8,1.5,0.9,0.6,13.2
E'Twaun Moore,SG,29,76,0.481,0.432,0.763,3.1,2.5,1,0.2,15.6
Evan Fournier,SG,26,79,0.438,0.34,0.806,3.6,4.2,1,0.2,17.3
Evan Turner,PG,30,79,0.46,0.212,0.708,7.4,6.3,0.7,0.4,11.1
Frank Jackson,PG,20,75,0.434,0.314,0.74,4.1,2.1,0.8,0.1,15.2
Frank Kaminsky,C,25,84,0.463,0.36,0.738,7.8,3,0.6,0.6,19.3
Frank Mason,PG,24,71,0.42,0.219,0.684,3.6,7,1.3,0.3,16.1
Frank Ntilikina,PG,20,78,0.337,0.287,0.767,3.5,4.8,1.2,0.6,9.8
Fred VanVleet,PG,24,72,0.41,0.378,0.843,3.4,6.3,1.2,0.4,14.3
Furkan Korkmaz,SG,21,79,0.4,0.326,0.818,5.7,2.8,1.5,0.1,14.8
Garrett Temple,SG,32,78,0.422,0.341,0.748,3.8,1.9,1.3,0.5,10.3
Gary Clark,PF,24,80,0.331,0.297,1,6.5,1,1.1,1.5,8.3
Gary Harris,SG,24,76,0.424,0.339,0.799,3.5,2.8,1.2,0.4,16.2
Gary Payton,PG,26,75,0.625,0.5,,4.5,9,6.8,2.3,24.8
Gary Trent,SG,20,78,0.32,0.238,0.429,3.6,1.6,0.3,0.6,13
George Hill,PG,32,75,0.452,0.314,0.824,4.1,3.7,1.4,0.2,12.7
George King,SF,25,78,,0,,6,0,0,0,0
Georges Niang,PF,25,80,0.475,0.41,0.833,6.1,2.4,0.7,0.4,16.4
Gerald Green,SG,33,79,0.4,0.354,0.838,4.4,1,0.8,0.7,16.5
Giannis Antetokounmpo,PF,24,83,0.578,0.256,0.729,13.7,6.5,1.4,1.7,30.4
